n_rules	precision	recall	accuracy	balanced_accuracy
58	0.9009389671361502	0.3512721947647813	0.8007005997558516	0.6677500157558396
59	0.9002795899347623	0.35365183964854474	0.8012313571466483	0.6688277138144054
60	0.9004168596572487	0.35584843492586493	0.8018151902765246	0.669888636658627
61	0.9005524861878453	0.35804503020318507	0.8023990234064009	0.6709495595028483
62	0.8994974874371859	0.3604246750869486	0.8028767050581179	0.6719898827669756
63	0.8992283250113482	0.3626212703642687	0.8034074624489146	0.6730134308167584
64	0.8989625620207488	0.36481786564158886	0.8039382198397113	0.6740369788665411
65	0.898700134468848	0.36701446091890905	0.8044689772305079	0.675060526916324
66	0.8991971454058876	0.36902800658978585	0.8050528103603842	0.6760672997517624
67	0.8996893031513538	0.37104155226066265	0.8056366434902607	0.6770740725872008
68	0.9001766784452296	0.37305509793153946	0.806220476620137	0.6780808454226392
69	0.9002636203866432	0.37506864360241626	0.8067512340109336	0.679050243463639
70	0.8992146596858639	0.3772652388797364	0.8071758399235709	0.6799990419245445
71	0.8996524761077324	0.37909573494416987	0.8077065973143676	0.6809142899567613
72	0.9000865051903114	0.38092623100860334	0.8082373547051642	0.681829537988978
73	0.9001291433491175	0.3827567270730368	0.8087150363568812	0.6827074112267562
74	0.9001713796058269	0.38458722313747024	0.8091927180085983	0.6835852844645341
75	0.9002132196162047	0.3864177192019037	0.8096703996603153	0.6844631577023124
76	0.9002546689303905	0.3882482152663372	0.8101480813120323	0.6853410309400904
77	0.8999155405405406	0.39007871133077066	0.8105726872246696	0.6861815293834299
78	0.8995798319327731	0.3919092073952041	0.810997293137307	0.6870220278267694
79	0.8999581414817915	0.3935566538531942	0.811474974789024	0.6878457510557644
80	0.9003336113427857	0.39520410031118436	0.8119526564407409	0.6886694742847594
81	0.9007062733693394	0.39685154676917445	0.8124303380924579	0.6894931975137545
82	0.9010761589403974	0.3984989932271646	0.8129080197441749	0.6903169207427495
83	0.9014432989690722	0.4001464396851547	0.813385701395892	0.6911406439717446
84	0.9014373716632443	0.4017938861431448	0.8138103073085293	0.6919269924063011
85	0.9014314928425358	0.4034413326011349	0.8142349132211666	0.6927133408408574
86	0.9014256619144603	0.40508877905912505	0.814659519133804	0.6934996892754139
87	0.901419878296146	0.40673622551711514	0.8150841250464412	0.6942860377099703
88	0.9010500807754442	0.4083836719751053	0.815455655219999	0.6950350113500882
89	0.9006835544833133	0.41003111843309537	0.8158271853935566	0.6957839849902059
90	0.9003202562049639	0.4116785648910855	0.8161987155671143	0.6965329586303237
91	0.9006384676775738	0.41314296174263226	0.8166233214797516	0.6972651570560972
92	0.9009546539379475	0.414607358594179	0.817047927392389	0.6979973554818705
93	0.901268834258525	0.4160717554457258	0.8174725333050262	0.6987295539076439
94	0.9015810276679842	0.41753615229727253	0.8178971392176636	0.6994617523334172
95	0.9018912529550828	0.41900054914881935	0.818321745130301	0.7001939507591907
96	0.9018453082057323	0.4204649460003661	0.8186932753038586	0.7008887743905254
97	0.9017996870109546	0.42192934285191286	0.8190648054774162	0.7015835980218601
98	0.9017543859649123	0.4233937397034596	0.819436335650974	0.7022784216531949
99	0.9017094017094017	0.4248581365550064	0.8198078658245316	0.7029732452845296
100	0.9016647309330236	0.4263225334065532	0.8201793959980893	0.7036680689158644
101	0.9012726571538758	0.42778693025809994	0.8204978504325673	0.7043255177527605
102	0.9015384615384615	0.42906827750320337	0.8208693806061249	0.7049661913753122
103	0.901457055214724	0.4303496247483068	0.8211878350406029	0.7055694902034253
104	0.9013761467889908	0.4316309719934102	0.821506289475081	0.7061727890315385
105	0.901295731707317	0.43291231923851364	0.821824743909559	0.7067760878596515
106	0.9012158054711246	0.43419366648361707	0.8221431983440369	0.7073793866877646
107	0.9011363636363636	0.4354750137287205	0.8224616527785149	0.7079826855158776
108	0.9010574018126888	0.4367563609738239	0.822780107212993	0.7085859843439908
109	0.9009789156626506	0.43803770821892735	0.823098561647471	0.7091892831721038
110	0.9009009009009009	0.43931905546403077	0.823417016081949	0.7097925820002169
111	0.9004863449307894	0.4406004027091342	0.8236823947773473	0.7103585060338914
112	0.900709219858156	0.44169870034779424	0.8240008492118253	0.7109076548532214
113	0.9009310986964618	0.44279699798645433	0.8243193036463032	0.7114568036725515
114	0.9011519881085098	0.4438952956251144	0.8246377580807813	0.7120059524918815
115	0.9013718946978124	0.44499359326377447	0.8249562125152593	0.7125551013112115
116	0.901590825009249	0.44609189090243456	0.8252746669497373	0.7131042501305416
117	0.9018087855297158	0.44719018854109466	0.8255931213842153	0.7136533989498716
118	0.9020257826887661	0.4482884861797547	0.8259115758186932	0.7142025477692016
119	0.9012844036697247	0.4495698334248581	0.8261238787750119	0.7147310970084375
120	0.9011713030746705	0.4506681310635182	0.8263892574704103	0.7152428710333288
121	0.9010587805768528	0.4517664287021783	0.8266546361658086	0.7157546450582203
122	0.9009468317552805	0.45286472634083835	0.8269200148612069	0.7162664190831116
123	0.9008354522339266	0.45396302397949845	0.8271853935566053	0.7167781931080031
124	0.9007246376811594	0.45506132161815854	0.8274507722520036	0.7172899671328945
125	0.9006143838091796	0.4561596192568186	0.8277161509474019	0.7178017411577859
126	0.9005046863734679	0.4572579168954787	0.8279815296428003	0.7183135151826773
